state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage
ID,0,9,37,3,38,5,0,45,2861,45,1997,45,42,45,9,46,1,46,0,45,0,45,191,46,2,45,3,46,41,45,42,46,1,45,1,45,264,46,0.698007689619014,45,1997,2861,0.017293997965412,44,34,1966,0.012069577564785,44,34,2817,0.007874015748031,45,2,254,0.723484848484848,46,191,264,05/03/2023 12:00:00 AM,,0,46,2,41,0,41,0,41,1,41,3,41,1,41,2,41,0,46,0,46,0,41,0,41,0,41,0,41,1,41,0,41,0,41,0,46,0,32,325,40,226,0,0,0,0,46,1,46,0,12,0,12,2,21,23,46,87,45,55,45,0,45,0,40,0,40,0,45,0,45,10,45,9,45
SC,17,4,36,21,24,12,2,56,8144,57,5895,57,187,56,7,57,27,57,1,56,0,56,666,57,17,56,3,57,186,56,72,57,1,56,1,56,1021,57,0.723845776031434,57,5895,8144,0.031916709336064,56,187,5859,0.023192360163711,56,187,8063,0.016983016983017,56,17,1001,0.65230166503428,57,666,1021,05/03/2023 12:00:00 AM,,0,56,0,52,0,52,0,52,0,52,0,52,7,53,0,52,0,52,1,56,0,52,0,52,0,52,4,53,7,53,10,53,5,51,0,52,0,32,445,1595,706,0,0,0,0,57,2,57,0,29,0,29,8,0,29,57,167,56,288,56,1,56,0,51,0,51,0,51,0,56,31,56,60,56
AR,1,12,68,16,57,8,5,79,7461,80,5258,80,125,79,12,81,40,81,0,79,11,79,606,80,27,79,13,80,123,79,65,81,2,79,0,79,828,80,0.704731269266854,80,5258,7461,0.023827678231033,79,125,5246,0.016844091092845,79,125,7421,0.032846715328467,78,27,822,0.731884057971014,80,606,828,05/03/2023 12:00:00 AM,,0,81,0,76,1,76,0,76,1,76,2,76,6,76,2,76,0,81,0,81,1,76,5,76,2,76,2,76,10,76,10,76,10,76,0,81,1,20,23,0,1,0,0,0,0,81,0,81,0,19,0,19,2,0,19,81,330,79,485,79,0,79,0,74,0,74,0,79,0,79,46,79,85,79
NM,0,3,44,16,29,2,1,46,3751,47,2675,47,85,46,14,47,5,47,0,46,1,46,307,47,12,46,10,47,84,46,87,47,1,46,1,46,381,47,0.713143161823514,47,2675,3751,0.032767925983038,46,85,2594,0.023300438596491,46,85,3648,0.033240997229917,46,12,361,0.805774278215223,47,307,381,05/03/2023 12:00:00 AM,,0,47,2,44,0,44,0,44,0,44,3,44,6,44,3,44,0,47,0,47,1,44,0,44,0,44,0,44,2,44,1,44,1,44,0,47,0,39,45,0,9,0,0,0,0,47,0,47,0,1,0,1,4,0,1,47,155,46,220,46,0,46,0,43,0,43,0,46,0,46,17,46,19,46
NY,1,33,130,3,127,34,55,156,42212,161,32623,161,830,156,86,164,167,164,5,156,15,156,3027,164,98,156,63,164,788,156,569,164,42,156,20,156,4217,164,0.772837107931394,161,32623,42212,0.025446235562967,154,824,32382,0.019729438525081,154,824,41765,0.023780635768017,156,98,4121,0.717808868864121,164,3027,4217,05/03/2023 12:00:00 AM,,1,163,4,155,11,156,0,155,9,154,13,155,15,154,32,154,1,163,2,163,15,154,23,154,16,154,25,155,22,154,30,152,32,153,2,163,9,36,1866,234,857,0,0,0,7,164,5,164,0,28,0,28,35,1,29,164,1581,156,2375,156,2,156,2,146,1,146,0,156,79,156,254,156,393,156
UT,0,5,43,1,38,9,1,47,5725,48,3650,48,68,47,12,48,0,48,1,47,0,47,330,48,8,47,8,48,59,47,53,48,9,47,8,47,518,48,0.637554585152838,48,3650,5725,0.01888364343238,47,68,3601,0.012037528766153,47,68,5649,0.015748031496063,47,8,508,0.637065637065637,48,330,518,05/03/2023 12:00:00 AM,,1,48,3,47,0,47,2,47,2,47,0,47,2,47,2,47,0,48,0,48,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,48,0,13,0,0,0,0,0,0,1,48,1,48,0,13,0,13,5,0,13,48,304,47,409,47,1,47,0,46,0,46,0,47,2,47,30,47,51,47
KY,1,10,92,13,67,23,3,101,12010,102,8968,102,186,101,17,103,53,103,0,101,11,101,1077,102,29,101,18,102,159,101,113,103,27,101,4,101,1369,102,0.746711074104913,102,8968,12010,0.020710728836578,100,183,8836,0.015439129334346,100,183,11853,0.021164021164021,100,28,1323,0.786705624543462,102,1077,1369,05/03/2023 12:00:00 AM,,0,101,0,86,1,86,0,85,1,86,5,87,4,84,6,86,0,102,1,101,4,88,2,87,1,73,7,88,11,87,12,88,15,89,0,103,0,18,11,24,64,0,0,0,0,103,3,103,0,16,0,16,16,0,15,103,402,101,519,101,0,101,0,83,0,83,0,101,0,101,54,101,82,101
MI,29,116,6,31,116,4,14,147,20234,151,15549,151,385,147,47,151,11,151,5,147,0,147,1609,151,39,147,33,151,377,147,323,151,8,147,4,147,2177,151,0.768459029356529,151,15549,20234,0.024956245543528,147,385,15427,0.019182859990035,147,385,20070,0.018173345759553,147,39,2146,0.739090491502067,151,1609,2177,05/03/2023 12:00:00 AM,,0,151,0,151,3,151,1,151,4,151,5,151,11,151,16,151,7,151,0,151,1,151,0,151,0,151,2,151,2,151,2,151,2,151,2,151,2,145,60,0,67,0,0,0,2,151,1,151,0,24,1,24,13,0,24,151,435,147,760,147,0,147,0,147,1,147,4,147,2,147,100,147,140,147
TX,4,23,434,5,47,409,94,461,57487,459,43594,459,1123,461,151,461,192,461,3,461,17,461,5241,458,178,461,111,458,1069,461,722,461,54,461,22,461,6203,458,0.758327969801868,459,43594,57487,0.025714547873561,459,1121,43594,0.01950006088333,459,1121,57487,0.026438819925842,458,164,6203,0.844913751410608,458,5241,6203,05/03/2023 12:00:00 AM,,0,460,9,461,5,461,10,461,21,461,28,461,30,460,42,461,6,461,1,461,7,461,16,461,24,461,24,461,43,461,38,461,37,461,2,461,2,55,0,0,0,0,0,0,6,461,14,461,0,53,1,53,55,1,53,461,2697,461,3378,461,1,461,1,461,1,461,0,461,6,461,527,461,670,461
NC,2,92,20,9,93,12,22,110,20433,114,16296,114,788,110,25,114,129,114,2,110,9,110,1749,113,112,110,29,113,764,110,223,114,24,110,7,110,2146,113,0.797533401849949,114,16296,20433,0.049014119549667,110,788,16077,0.039083424263466,110,788,20162,0.053237410071942,109,111,2085,0.815004659832246,113,1749,2146,05/03/2023 12:00:00 AM,,0,114,0,112,3,112,0,111,2,112,6,112,6,112,8,112,0,114,0,114,4,112,4,112,9,112,16,112,40,112,31,112,25,112,0,114,10,101,0,0,0,0,0,0,1,114,1,114,0,101,0,101,11,4,101,114,638,110,899,110,1,110,0,108,0,108,1,110,0,110,103,110,149,110
IA,0,17,98,2,70,43,6,113,7092,115,4766,115,66,113,10,115,13,115,0,113,6,113,392,115,6,113,6,115,65,113,61,115,1,113,0,113,554,115,0.672024816694868,115,4766,7092,0.014036580178647,113,66,4702,0.009416464545584,113,66,7009,0.011173184357542,113,6,537,0.707581227436823,115,392,554,05/03/2023 12:00:00 AM,,0,113,0,91,1,91,0,91,1,92,0,91,4,92,4,92,0,115,0,115,0,91,1,91,3,91,2,91,3,91,3,91,1,91,0,115,0,56,347,0,647,0,0,0,2,115,0,115,0,19,0,19,4,0,19,115,173,113,376,113,0,112,0,89,0,89,0,113,0,113,31,113,75,113
WA,0,21,72,0,38,55,12,91,10779,92,9052,92,308,91,33,93,13,93,0,91,0,91,891,92,37,91,33,92,305,91,248,93,3,91,1,91,1118,92,0.839781055756564,92,9052,10779,0.034382674704175,90,308,8958,0.028893058161351,90,308,10660,0.033759124087591,90,37,1096,0.79695885509839,92,891,1118,05/03/2023 12:00:00 AM,,0,93,1,92,5,92,1,92,0,92,5,92,8,92,13,92,0,93,0,93,1,92,0,92,1,92,2,92,2,92,4,92,3,92,0,93,2,21,0,0,0,0,0,0,0,93,1,93,0,21,0,21,17,0,72,93,456,91,725,90,0,91,0,89,0,90,0,90,0,91,91,91,127,90
DC,0,0,12,0,11,1,4,11,3047,12,2461,12,42,11,1,12,38,12,0,11,0,11,248,12,4,11,4,12,40,11,23,12,2,11,2,11,304,12,0.807679684936003,12,2461,3047,0.017902813299233,11,42,2346,0.014408233276158,11,42,2915,0.014084507042254,11,4,284,0.81578947368421,12,248,304,05/03/2023 12:00:00 AM,,0,12,0,12,0,12,0,12,0,12,1,12,0,12,0,12,0,12,0,12,1,12,2,12,2,12,12,12,7,12,9,12,5,12,0,12,0,11,0,,0,0,,0,0,12,0,12,,0,,0,1,,0,12,287,11,298,11,0,11,0,11,0,11,0,11,0,11,61,11,73,11
PR,0,2,50,0,6,46,2,51,8043,52,5488,52,78,51,8,52,6,52,4,51,0,51,455,52,14,51,9,52,72,51,62,52,6,51,6,51,613,52,0.682332463011314,52,5488,8043,0.014667168108311,51,78,5318,0.009924926835475,51,78,7859,0.023931623931624,51,14,585,0.742251223491028,52,455,613,05/03/2023 12:00:00 AM,,0,52,0,52,0,52,0,52,2,52,1,52,3,52,1,52,1,52,0,52,0,52,0,52,0,52,2,52,1,52,1,52,2,52,0,52,0,3,,,,,,,0,52,7,52,0,2,0,2,31,0,2,52,517,51,1010,51,3,51,1,51,0,51,0,51,0,51,42,51,86,51
